x,y,cluster,sentence,song-title,song-artist,cosine_simiarity_score,confidence_level
-0.028389084166708354,-0.022047002415664634,day-never-feel,sometimes i find myself sitting back and reminiscing,Littlest Things,Lily Allen,-0.8814156211730902,0.9961404698029858
-0.029371755191555337,-0.018558241061313617,day-never-feel,especially when i have to watch other people kissing,Littlest Things,Lily Allen,-0.9229433393400239,0.9994198988596508
-0.030622010888657115,-0.019578231102263012,day-never-feel,and i remember when you started calling me your missus,Littlest Things,Lily Allen,-0.9208705728475486,0.9978091305333756
-0.023069115033376487,-0.0166593725109448,day-never-feel,all the play fighting all the flirtatious disses,Littlest Things,Lily Allen,-0.8973478541425901,0.9939793705762123
-0.03160111413214178,-0.024043715674516793,look-yeah-mean,id tell you sad stories about my childhood,Littlest Things,Lily Allen,0.9998358378261242,0.993597734935896
-0.041774980920119366,-0.04998434103985592,love-full-want,i dont know why i trusted you but i knew that i could,Littlest Things,Lily Allen,-0.7474338151498977,0.996897001085155
-0.029383369025659262,-0.018683858071857216,day-never-feel,wed spend the whole weekend lying in our own dirt,Littlest Things,Lily Allen,-0.9218341396892209,0.9993295156760011
-0.028945628799520805,-0.018294374752136584,day-never-feel,i was just so happy in your boxers and your tshirt,Littlest Things,Lily Allen,-0.9228922285127849,0.9999100381397971
-0.05216271472533736,-0.041299946428885216,day-never-feel,prechorus,Littlest Things,Lily Allen,-0.8769454945183144,0.9870873904001988
-0.0500157327131995,-0.03827148262786447,surely-change-life,dreams dreams,Littlest Things,Lily Allen,-0.34642094028108533,0.9855382567862032
-0.041627537583292885,-0.029208465021627186,eye-prechorus-lost,of when we had just started things,Littlest Things,Lily Allen,0.9833265855309885,0.9956854137512506
-0.0500157327131995,-0.03827148262786448,surely-change-life,dreams of you and me,Littlest Things,Lily Allen,-0.34642094028108533,0.9855382567862032
-0.034217852907051295,-0.024475751884319708,day-never-feel,and it seems it seems,Littlest Things,Lily Allen,-0.8993345515996038,0.9954084483436836
-0.029325984455158553,-0.02368770873159556,day-never-feel,that i cant shake those memories,Littlest Things,Lily Allen,-0.8722182144448754,0.9945255857619927
-0.04251178859507366,-0.0312568675343985,surely-change-life,i wonder if you have the same dreams too,Littlest Things,Lily Allen,-0.3283885353717112,0.9938971033238104
-0.04094753425370682,-0.031018468070450052,eye-prechorus-lost,the littlest things that take me there,Littlest Things,Lily Allen,0.9893009644576789,0.9952221584820918
-0.03999369819190473,-0.04513278395374252,love-full-want,i know it sounds lame but its so true,Littlest Things,Lily Allen,-0.766338807922844,0.9921417411096539
-0.05237132300654255,-0.060029370918189086,help-late-breathe,i know its not right but it seems unfair,Littlest Things,Lily Allen,0.9999667991234876,0.9885138004794847
-0.03987004585321826,-0.02780818129475056,eye-prechorus-lost,that the things are reminding me of you,Littlest Things,Lily Allen,0.9828109186682797,0.9977469207850513
-0.036682563803685606,-0.025565276377438047,day-never-feel,sometimes i wish we could just pretend,Littlest Things,Lily Allen,-0.9046238304574006,0.9977891121391931
-0.027716893873940992,-0.02159374877361245,day-never-feel,even if only for one weekend,Littlest Things,Lily Allen,-0.8806843931590858,0.9964245993517916
-0.03663010985214271,-0.03290818920454806,day-never-feel,so come on tell me,Littlest Things,Lily Allen,-0.8453579124469487,0.9945810685335021
-0.02781501312393424,-0.01737449800259215,day-never-feel,is this the end,Littlest Things,Lily Allen,-0.9249169049764004,0.9986254262742074
-0.0265770790088164,-0.016469491615268367,day-never-feel,e,Littlest Things,Lily Allen,-0.926269542875625,0.9970954792798361
-0.029469734812742482,-0.014358665499638833,day-never-feel,drinking tea in bed watching dvds,Littlest Things,Lily Allen,-0.9596564109725361,0.9961105295133847
-0.02781501285107772,-0.01737449749108465,day-never-feel,when i discovered all your dirty grotty magazines,Littlest Things,Lily Allen,-0.9249169083296734,0.9986254257465024
-0.030829458457701516,-0.02160928998667985,eye-prechorus-lost,you take me out shopping and all wed buy is trainers,Littlest Things,Lily Allen,0.9832372180964176,0.9961049026963235
-0.03206042805844565,-0.021503925684624763,day-never-feel,as if we ever needed anything to entertain us,Littlest Things,Lily Allen,-0.9120884967034054,0.9954516711079835
-0.03539345031584534,-0.02345661166462441,day-never-feel,the first time that you introduced me to your friends,Littlest Things,Lily Allen,-0.9143429354584782,0.9953328645595174
