song-title,song-artist,song-lyrics
Littlest Things,Lily Allen,"sometimes i find myself sitting back and reminiscing
especially when i have to watch other people kissing
and i remember when you started calling me your missus
all the play fighting all the flirtatious disses
id tell you sad stories about my childhood
i dont know why i trusted you but i knew that i could
wed spend the whole weekend lying in our own dirt
i was just so happy in your boxers and your tshirt
prechorus
dreams dreams
of when we had just started things
dreams of you and me
and it seems it seems
that i cant shake those memories
i wonder if you have the same dreams too
the littlest things that take me there
i know it sounds lame but its so true
i know its not right but it seems unfair
that the things are reminding me of you
sometimes i wish we could just pretend
even if only for one weekend
so come on tell me
is this the end
e
drinking tea in bed watching dvds
when i discovered all your dirty grotty magazines
you take me out shopping and all wed buy is trainers
as if we ever needed anything to entertain us
the first time that you oduced me to your friends
and you could tell i was nervous so you held my hand
when i was feeling down you made that face you do
theres no one in the world who could replace you
prechorus
dreams dreams
of when we had just started things
dreams of me and you
and it seems it seems
that i cant shake those memories
i wonder if you feel the same way too
the littlest things that take me there
i know it sounds lame but its so true
i know its not right but it seems unfair
that the things are reminding me of you
sometimes i wish we could just pretend
even if only for one weekend
so come on tell me
is this the endd
"
You Know What I Mean,Cults,"i i cant take things slowly
come then go away thats what they all do
help me cause im feeling shaky
tell me whats wrong with my brain cause i seem to have lost it
cause i am afraid of the light
yeah you know what i mean
and i cant sleep alone at night
yeah you know what i mean
lonely thats not quite my problem
i have all that i need havent quite lost it
i tried so hard to be happy
cause something goes wrong once again
please please come and save me
tell me whats wrong with my brain
cause i seem to have lost it
cause i am afraid of the light
yeah you know what i mean
and i cant sleep alone at night
yeah you know what i mean
cause i am afraid of the light
yeah you know what i mean
cause i cant sleep alone at night
yeah you know what i meansee cults liveget tickets as low as ed
"
Do Me Baby,Meli'sa Morgan,"here we are in this big old empty room
staring each other down
you want me just as much as i want you
lets stop fooling around
take me baby kiss me all over
play with my love
bring out whats been in me for far too long
baby you know thats all ive been dreaming of
do me baby
like you never done before
oh give it to me tii just cant take no more
come on and do me baby
like you never done before
i want you now i just cant wait no more cant wait oh
here we are looking for a reason
for you to lay me down
for a love like ours is never out of season
so baby please stop teasing me
ooh what you do i can never love no other
youre the best i ever had
whenever were not close to one another
i just want you so bad
so
see prince liveget tickets as low as e
do me baby
like you never done before
no no
ooh give it to me til i just cant take no more
come on do me baby
like you never done before
oooh i want you now i just cant wait no more
i said
oooo ooo ahh oooo ah
oooooo
do me baby
yeah
do me baby all night long
oooh give it to me
oh oh oh
do me baby
i want you now
oooh yeah yeah yeah yeah yeah
do me baby
oh give it to me oooh
do me baby
do me baby dont want to do it all alone
i want your love
yeah
do me baby
oooh give it to me
do me baby
ooh yeah
this feeling is too strong make me wait too long
i want you now
oh
baby youre leaving me no choice
okay what are you going to do you just going to sit there and watch
all right
oooh
are you sure you dont want to close your eyes
moans
well isnt it supposed to take a long time
im not going to stop until the war is over
oooh
help me
moans
there okay okay
moans
im so cold ooh just hold me
oooh oohd
"
Duvet - Acoustic,bôa,"and you dont seem to understand
a shame you seemed an honest man
and all the fears you hold so dear
will turn to whisper in your ear
and you know what they say might hurt you
and you know that it means so much
and you dont even feel a thing
minichorus
i am falling
i am fading
i have lost it all
and you dont seem the lying kind
a shame that i can read your mind
and all the things that i read there
candlelit smile that we both shared
and you know i dont mean to hurt you
but you know that it means so much
and you dont even feel a thing
i am falling
i am fading
i am drowning
help me to breathe
i am hurting
i have lost it all
i am losing
help me to breathe
einstrumental
chorus 
i am falling
i am failing
i am drowning
help me to breathe
i am hurting
i have lost it all
i am losing
help me to breathe
bridge vocalizations
chorus 
i am falling
i am failing
i am drowning
help me to breathe
i am hurting
i have lost it all
i am losing
help me to breathe
can you hear me
are you drowning
are you hearing med
"
Ecstasy (Apple of My Eye),Strawberry Switchblade,"in my darkest dreams i see
youre much closer now to me
i have got you in my hair
i can feel you round me everywhere
if i ever was to tell
i could talk of you so well
but youre here in me and will always be
the secret that i want to keep and
in a kiss lies so much more than touch
and my life has found a new temptation
and ecstasy has meaning once again
i find suddenly im closer to you
and i find all my wildest dreams
have come true
while i spin round
my heart is beating for two
and i am wishing
it will always be you and i
i will always come with you
doing all we want to do
seeing things weve never seen
going places we havent tried to be
etouching me and touching you
all the love we never knew
marked with x you see is our destiny
as we run together we could be so free
in a kiss lies so much more than touch
and my life has found a new temptation
and ecstasy has meaning once again
i find suddenly im closer to you
and i find all my wildest dreams
have come true
while i spin round
my heart is beating for two
and i am wishing
it will always be you and i
you and i
in a kiss lies so much more than touch
and my life has found a new temptation
and ecstasy has meaning once again
i find suddenly im closer to you
and i find all my wildest dreams
have come true
while i spin round
my heart is beating for two
and i am wishing
it will always be you and i
you and id
"
Laputa,Panchiko,"graphite to paper
a sagaborn handdrawn artisan dreamer
graphite to paper
a sagaborn and handdrawn artisan dreamer
miyazaki frontier
a crystalclear picture of aluminum seeker
this view from here is airborne
mystic catacomb creeper
who whispers stone cold
and as the mind funnels deeper
a relic a teacher
a talisman in the hand
navigate to seek up above
laputa miss you
laputa how i miss you
laputa how i miss you
floating castle in the sky miss you
laputa how i miss you
floating castle in the sky
laputa
young one hear this
feel this
see hiatus kaiyote liveget tickets as low as e
ive been running running but the riot hunts for you you you you
ive been running running but the riot hunts for you you you you
ive been running running but the riot hunts for you you you you
ive been running running but the riot hunts for you you you you
give me the timeless corridors of your meadows of your meadows
give me the timeless corridors of your meadows of your meadows
give me the timeless corridors of your meadows of your meadows
give me the timeless corridors of your meadow of your meadows
laputa
laputad
"
Are You with Me Now?,Cate Le Bon,"oh the sinking spell
caught at tiny heels
pinned a notice to posts
and then crawled in my mouth
prechorus
there is a feeling i love
buried in my brow
i have no reason to run
i see no reason
are you with me now ah
are you with me now ah
its not impossible
its not unfathomable
its not unusual baby
to feel a shadow unkind
prechorus
there is a feeling i love
buried in my brow
i have no reason to run
i see no reason
e
are you with me now ah
are you with me now ah
as she knows me now ah
as she knows me now ah
as she knows me now ah
as she knows me
are you with me now ah
are you with me now ah
are you with me now ah
are you with me now ah
are you with me now ahd
"
All Is Full of Love,Björk,"youll be given love
youll be taken care of
youll be given love
you have to trust it
maybe not from the sources
you have poured yours
maybe not from the directions
you are staring at
twist your head around
its all around you
all is full of love
all around you
prechorus
all is full of love
you just aint receiving
all is full of love
your phone is off the hook
all is full of love
your doors are shut
all is full of love
e
all is full of love all is full of love
all is full of love all is full of love
all is full of love
all is full of love all is full of love
all is full of love
all is full of love
all is full of love
all is full of loved
"
Oh to Be in Love,Kate Bush,"as the light hits you
as you shift along the floor
i find it hard to place my face
how did i come to be here anyway
its terribly vague whats gone before
i could have been anyone
you could have been anyones dream
why did you have to choose our moment
why did you have to make me feel that
why did you make it so unreal
oh to be in love
and never get out again
oh to be in love
and never get out again
oh to be in love
and never get out again
oh to be in love
and never get out again
oh to be in love
and never get out again
oh to be in love
and never get out again
e
all the colours look brighter now
everything they say seems to sound new
slipping into tomorrow too quick
yesterday always too good to forget
stop the swing of the pendulum let us through
oh to be in love
and never get out again
oh to be in love
and never get out again
oh to be in love
and never get out againd
"
Taxi Dancer,Dengue Fever,"oh yeah
well she started out just to be a dancer
gonna make her livin dancin
in the broadway shows
so she hitchhiked cross the country
from pasaroba to the big red apple
where your dreams are made
your debts must be paid on time
well she wasnt used to livin in the city
so she took a job cleanin up as a maid
at the grammercy park hotel
and all her auditions
they didnt turn out so pretty
so she took a job dancin
at the bar down the street as well
ill hold you close taxi dancer
and ill listen to how your outgrew your dreams
how they faded away
ill hold you close taxi dancer
we can pretend this floor is the broadway stage
well i dont know how long or how far
her fortune did take her
but i heard she sits alone drunk
in a bar downtown on nd street
and sometimes an old butch
will slip a quarter into the jukebox
and shell stagger to the bar
and dance with that girl for free
see john mellencamp liveget tickets as low as eill hold you close taxi dancer
and ill listen to how your outgrew your dreams
how they faded away
ill hold you close taxi dancer
we can pretend this floor is the broadway stage
oh the stage babyd
"
