x,y,cluster,sentence,song-title,song-artist,cosine_simiarity_score,confidence_level
-0.01290407239016372,-0.002918968461917835,standing-side-need,ed,Mullah Said,Muslimgauze,-0.1491852090541948,0.9987871600598128
-0.011621033057202999,-0.0025110950055404644,standing-side-need,,Mullah Said,Muslimgauze,-0.1396351644665717,0.9974654162153693
-0.024705773090795687,-0.012467702455625774,standing-side-need,well youre still walking,"Quiet, The Winter Harbor",Mazzy Star,-0.3844772526785509,0.9958693154370136
-0.013568927591570202,-0.0033478188684722596,standing-side-need,around the block,"Quiet, The Winter Harbor",Mazzy Star,-0.16837274956980616,0.9995776763404386
-0.0281763211889091,0.006997786949205149,rose-wish-well,you had a long time,"Quiet, The Winter Harbor",Mazzy Star,0.7005313755498327,0.9824116610872258
-0.014995142146314045,-0.005026884448373026,standing-side-need,to think who you are,"Quiet, The Winter Harbor",Mazzy Star,-0.24812406277534477,0.9981979673156154
-0.01579071718729587,-0.0048523988219629785,standing-side-need,you look so sad,"Quiet, The Winter Harbor",Mazzy Star,-0.2235141103111943,0.9977414740338832
-0.02070531002332679,-0.01376369901575135,standing-side-need,well so you think,"Quiet, The Winter Harbor",Mazzy Star,-0.49162269481049314,0.9988752673537478
-0.027174643787522216,-0.033242640230871326,standing-side-need,you say come over,"Quiet, The Winter Harbor",Mazzy Star,-0.7262013110846314,0.9961316401233324
-0.023580449279677923,-0.0069056162964641005,breakdown-river-trying,and youre still a star,"Quiet, The Winter Harbor",Mazzy Star,0.9994359416841577,0.9935388653084612
-0.023615937887133343,-0.014996754623888237,standing-side-need,youre like a villain,"Quiet, The Winter Harbor",Mazzy Star,-0.47332369512200473,0.9961604089600433
-0.014782120821591829,-0.004012876705095293,standing-side-need,in some old film,"Quiet, The Winter Harbor",Mazzy Star,-0.19117859924008085,0.9990380208399542
-0.013451030334352333,-0.003257266275418918,standing-side-need,walking in the dark,"Quiet, The Winter Harbor",Mazzy Star,-0.16412092500034012,0.9994295099056684
-0.012960631572840452,-0.0029121356984707723,standing-side-need,in somebodys room,"Quiet, The Winter Harbor",Mazzy Star,-0.1477600921165542,0.9988304365808951
-0.012827268596974417,-0.002842910815473356,standing-side-need,save me,"Quiet, The Winter Harbor",Mazzy Star,-0.14487603900757698,0.9986813746578034
-0.037702346401065304,0.08452574337761644,prechorus-know-oh,cause im still sinking,"Quiet, The Winter Harbor",Mazzy Star,-0.5875625060376244,0.9650815072973865
-0.015372969971386218,-0.004176418355000437,standing-side-need,and youve got a harbor,"Quiet, The Winter Harbor",Mazzy Star,-0.19136560124087026,0.9984333838242649
-0.01309080436222966,-0.003033674029773636,standing-side-need,close to the shore,"Quiet, The Winter Harbor",Mazzy Star,-0.1543841101557841,0.9990060125532896
-0.012194541063146967,-0.0026677327248308467,standing-side-need,simple,"Quiet, The Winter Harbor",Mazzy Star,-0.14217111271370084,0.9980479847029191
-0.016549755190376936,-0.009540922924610007,standing-side-need,your thoughts are swimming,"Quiet, The Winter Harbor",Mazzy Star,-0.4351845690387181,0.994932544367527
-0.028426128199345993,-0.02289026263672295,say-cry-chorus,id like to see them,"Quiet, The Winter Harbor",Mazzy Star,-0.7761542536248861,0.9929628155849576
