song-title,song-artist,song-lyrics
Slow Like Honey,Fiona Apple,"you moved like honey
in my dream last night
yeah some old fires were burning
you came near to me
and you endeared to me
but you couldnt quite discern me
does that scare you
ill let you run away
but your heart will not oblige you
youll remember me like a melody
yeah ill haunt the world inside you
and my big secret gonna win you over
slow like honey heavy with mood
ill let you see me
ill covet your regard
ill invade your demeanor
and youll yield to me
like a scent in the breeze
and youll wonder what it is about me
e
its my big secret keeping you coming
slow like honey heavy with mood
ah ah ahah ahah ah yeah
though dreams can be deceiving
like faces are to hearts
they serve for sweet relieving
when fantasy and reality lie too far apart
so i stretch myself across like a bridge
and i pull you to the edge
and stand there waiting
trying to attain
the end to satisfy the story
shall i release you
must i release you
as i rise to meet my glory
but my big secret
gonna hover over your life
gonna keep you reaching
when im gone like yesterday
when im high like heaven
when im strong like music
cause im slow like honey and heavy with moodd
"
The Call,Regina Spektor,"we could leave the christmas lights up til january
and this is our place we make the rules
and theres a dazzling haze a mysterious way about you dear
have i known you twenty seconds or twenty years
can i go where you go
can we always be this close
forever and ever ah
take me out and take me home
youre my my my my lover
we could let our friends crash in the living room
this is our place we make the call
and im highly suspicious that everyone who sees you wants you
ive loved you three summers now honey but i want em all
can i go where you go
can we always be this close
forever and ever ah
take me out and take me home forever and ever
youre my my my my lover
see taylor swift liveget tickets as low as e
ladies and gentlemen will you please stand
with every guitar string scar on my hand
i take this magnetic force of a man to be my lover
my hearts been borrowed and yours has been blue
alls well that ends well to end up with you
swear to be overdramatic and true to my lover
and youll save all your dirtiest jokes for me
and at every table ill save you a seat lover
can i go where you go
can we always be this close
forever and ever ah
take me out and take me home forever and ever
youre my my my my
oh youre my my my my
darling youre my my my my loverd
"
Goodbye Evergreen,Sufjan Stevens,"goodbye evergreen
you know i love you
but everything heaven sent
must burn out in the end
i promised you
just as you were in my dream
now let me off easy
and ill slip down through the drain
to release my scattered brain
my enemy
something just isnt right
i cut from the inside
im frightened of the end
im drowning in my selfdefense
now punish me
think of me as what you will
i grow like a cancer
im pressed out in th rain
deliver me from th poisoned pain
interlude
goodbye evergreen goodbye evergreen
goodbye evergreen goodbye evergreen
you know i love you you know i love you
you know i love you
goodbye evergreen goodbye evergreen
goodbye evergreen
you know i love you you know i love you
you know i love you
goodbye evergreen goodbye evergreen
you know i love you you know i love you
you know i love you
goodbye evergreen goodbye evergreen
you know i love you you know i love you
you know i love you
goodbye evergreen goodbye evergreen
goodbye evergreen
you know i love you
e
you know i love you
you know i love you
you know i loved
"
My Red Little Fox,Sufjan Stevens,"i drink til its lost
drinking words within
that spin down pentecost
kiss me with the fire of gods
just say what you want
say it out within
without that funny little cough
simple minded simple talk
dont start with your camouflage
spurning from within
jump in my red little fox
and rivers running through it all
so kiss me as i am lost
kiss me from within
jump in my red little fox
yellow paper folded off
my love my queen my broken
dreams come save me
kiss me like the wind
now i sing it wont you
kiss me from within
now i sing it wont you
kiss me like the wind
that flows within your veins
e
lets not be for want
wanting is a sin
i dont want anything at all
yellow fever folded off
lets drink til its pentcost
drink unto the wind
jump in my red little fox
kiss m with the fire of gods
lets scream til its all forgot
screaming words within
that spin without any cost
kiss me with the fire of gods
my love my queen my spoken
dreams come save me
kiss me like the wind
now i sing it wont you
kiss me from within
now i sing it wont you
kiss me like the wind
that flows within your veinsd
"
كلام عينيه,Sherine,"e
 d
"
Man of a Thousand Faces,Regina Spektor,"the man of a thousand faces
sits down at the table
eats a small lump of sugar
and smiles at the moon like he knows her
he begins his quiet ascension
without anyones sturdy instruction
to a place of no religion
has found a path to our alikeness
his words are quiet like stains are
on a tablecloth washed in a river
stains that are trying to cover for each other
or at least blend in with the pattern
good is better than perfect
scrub till your fingers are bleeding
and im crying for things that
i tell others to do without crying
he used to go to his favorite bookstores
and rip out his favorite pages
and stuff em into his breast pocket
and the moon to him was a stranger
see regina spektor liveget tickets as low as e
now he sits down at a table
right next to the window
and begins his quiet ascension
without anyones sturdy instruction
to a place with no religion
has found a path to our alikeness
and eats a small lump of sugar
and smiles at the moon like he knows herd
"
But Not For Me,Ella Fitzgerald,"theyre writing songs of love but not for me
a lucky stars above but not for me
with love to lead the way ive found more clouds of gray
than any russian play could guarantee
i was a fool to fall and get that way
hiho alas and also lackaday
although i cant dismiss the memory of her kiss
i guess shes not for me
i was a fool to fall and get that way
hiho alas and also lackaday
although i cant dismiss the memory of her kiss
i guess shes not for meed
"
La Ciruela,Nico Play,"mrame
nunca te lo confesar
pero si soy sincero
no hay nada ms en este mundo
que yo quiero
solo una
mordida de la ciruela
tan dulce que rompe la
desilusin de mi vida
me muero por ella
aunque no sepa
delicia
helado de coco que enfra
tu boca que llora por
un alivio de tanto calor
envidia
se esconde debajo de la tierra
donde ni tu la veas
porque que te da vergenza verdad
me muero por ella
aunque no sepaed
"
My Girlfriend Is a Witch,October Country,"riding high
leaving trails of smoke across the sky
on a broom
glad that i am safe within my room
i know my girlfriend is a witch
spells fill the air
i think i hear footsteps on my stair
coming near
her thoughts are telling me that shes here
i know my girlfriend is a witch
instrumental
i know my girlfriend is a witch
what a fate
a worshiper of magic for a date
but tonight
i become a warlock just for spite
e
i know my girlfriend is a witchd
"
Volveré,Diego Verdaguer,"letra de volver
an puedo ver el tren partir
y tu triste mirar
esconde aquellas lgrimas volver
oh que dificil es vivir sin tu amor
la carta dice esperme
el tiempo pasar
un ao no es un siglo y yo volver
oh que dificil es
vivir sin tu amor
oh vuelve vida ma
da fuerza a mis das
con tu amor volvers volvers
desde que tu has partido
ha comenzado para mi la oscuridad
en torno a mi vive el recuerdo
de los das bellos de nuestro amor
la rosa que me ha dejado ya se ha secado
pero la guardo en un libro
que no termino masde leer
pronto estaremos juntos
te quiero tanto amor
el tiempo pasa esperme
volver piensa en mi siempre as
que el tiempo pasar
eoh vuelve vida ma
amor amor amor
un ao no es un siglo y yo volver
piensa en mi siempre as volver
oh vuelve vida ma
amor amor amor
da fuerza a mis das
un ao no es un siglo y yo
con tu amor
volver
volvers volversd
"
